stationID,hour_timestamp,total_kWh,hour,dayofweek,month,day,weekofyear,hour_sin,hour_cos,dow_sin,dow_cos,station_encoded,lag_1,rolling_3h,rolling_24h
2-39-79-378,2019-12-20 20:00:00,0.85,20,4,12,20,51,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,32,5.024,6.258666666666674,10.412458333333335
2-39-79-378,2020-01-13 16:00:00,6.119,16,0,1,13,3,-0.8660254037844384,-0.5000000000000004,0.0,1.0,32,0.85,3.9976666666666745,10.603875
2-39-79-378,2020-01-14 22:00:00,5.084,22,1,1,14,3,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,32,6.119,4.017666666666675,10.785583333333333
2-39-79-378,2020-01-15 17:00:00,0.9595605555555556,17,2,1,15,3,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,32,5.084,4.05418685185186,10.112481689814814
2-39-79-378,2020-01-16 17:00:00,18.314,17,3,1,16,3,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,32,0.9595605555555556,8.11918685185186,10.101523356481481
2-39-79-378,2020-01-17 17:00:00,20.449,17,4,1,17,3,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,32,18.314,13.240853518518527,10.571231689814814
2-39-79-378,2020-01-21 16:00:00,13.565,16,1,1,21,4,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,32,20.449,17.442666666666675,11.098940023148147
2-39-79-378,2020-01-23 16:00:00,0.844,16,3,1,23,4,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,32,13.565,11.619333333333342,10.296981689814816
2-39-79-378,2020-01-27 16:00:00,1.314,16,0,1,27,5,-0.8660254037844384,-0.5000000000000004,0.0,1.0,32,0.844,5.241000000000008,10.262773356481482
2-39-79-378,2020-01-28 16:00:00,6.212,16,1,1,28,5,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,32,1.314,2.790000000000008,9.906106689814814
2-39-79-378,2020-01-29 16:00:00,0.835,16,2,1,29,5,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,32,6.212,2.787000000000008,9.326981689814815
2-39-79-378,2020-01-29 21:00:00,6.545,21,2,1,29,5,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,32,0.835,4.530666666666675,8.989606689814815
2-39-79-378,2020-01-30 16:00:00,1.908,16,3,1,30,5,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,32,6.545,3.0960000000000076,8.221523356481482
2-39-79-378,2020-02-03 20:00:00,0.867,20,0,2,3,6,-0.8660254037844386,0.5000000000000001,0.0,1.0,32,1.908,3.106666666666675,7.775898356481481
2-39-79-378,2020-02-05 16:00:00,13.039,16,2,2,5,6,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,32,0.867,5.271333333333342,7.484231689814815
2-39-79-378,2020-02-06 16:00:00,8.134,16,3,2,6,6,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,32,13.039,7.346666666666675,7.367940023148148
2-39-79-378,2020-02-11 16:00:00,17.028,16,1,2,11,7,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,32,8.134,12.733666666666673,7.610690023148148
2-39-79-378,2020-02-12 16:00:00,1.904,16,2,2,12,7,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,32,17.028,9.022000000000007,7.160231689814815
2-39-79-378,2020-02-13 16:00:00,23.815,16,3,2,13,7,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,32,1.904,14.24900000000001,7.901731689814814
2-39-79-378,2020-02-18 18:00:00,1.999,18,1,2,18,8,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,32,23.815,9.239333333333342,7.917898356481483
2-39-79-378,2020-02-19 16:00:00,41.017,16,2,2,19,8,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,32,1.999,22.27700000000001,8.733856689814814
2-39-79-378,2020-02-24 19:00:00,11.139,19,0,2,24,9,-0.9659258262890684,0.2588190451025203,0.0,1.0,32,41.017,18.051666666666677,9.161106689814815
2-39-79-378,2020-02-25 17:00:00,0.928,17,1,2,25,9,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,32,11.139,17.694666666666674,8.662190023148149
2-39-79-378,2020-02-26 18:00:00,16.578310833333333,18,2,2,26,9,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,32,0.928,9.548436944444452,9.143619641203705
2-39-79-378,2020-02-26 21:00:00,2.241,21,2,2,26,9,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,32,16.578310833333333,6.582436944444452,9.201577974537036
2-39-79-378,2020-02-27 17:00:00,8.802,17,3,2,27,9,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,32,2.241,9.207103611111117,9.313369641203703
2-39-79-378,2020-02-28 16:00:00,0.982,16,4,2,28,9,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,32,8.802,4.00833333333334,9.142452974537038
2-39-79-378,2020-03-02 19:00:00,27.87,19,0,3,2,10,-0.9659258262890684,0.2588190451025203,0.0,1.0,32,0.982,12.551333333333341,10.263721284722223
2-39-79-378,2020-03-03 16:00:00,7.312,16,1,3,3,10,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,32,27.87,12.054666666666675,9.805304618055555
2-39-79-378,2020-03-07 06:00:00,23.162,6,5,3,7,10,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,32,7.312,19.448000000000008,9.918346284722222
2-39-79-378,2020-03-09 17:00:00,6.103,17,0,3,9,11,-0.9659258262890683,-0.25881904510252063,0.0,1.0,32,23.162,12.19233333333334,9.607429618055557
2-39-79-378,2020-04-11 14:00:00,32.568,14,5,4,11,15,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,32,6.103,20.611000000000004,10.929262951388887
2-39-79-378,2020-06-03 19:00:00,36.333,19,2,6,3,23,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,32,32.568,25.00133333333334,12.388387951388891
2-39-79-378,2020-07-11 18:00:00,14.886,18,5,7,11,28,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,32,36.333,27.929000000000006,12.749804618055554
2-39-79-378,2020-07-27 16:00:00,8.554,16,0,7,27,31,-0.8660254037844384,-0.5000000000000004,0.0,1.0,32,14.886,19.924333333333337,13.071429618055555
2-39-79-378,2021-03-26 16:00:00,41.017,16,4,3,26,12,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,32,8.554,21.485666666666674,14.507762951388889
2-39-79-378,2021-04-23 03:00:00,0.8296291666666666,3,4,4,23,16,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,32,41.017,16.800209722222228,14.462830833333335
2-39-79-378,2021-05-12 21:00:00,8.304,21,2,5,12,19,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,32,0.8296291666666666,16.716876388888895,14.772705833333333
2-39-79-378,2021-05-14 16:00:00,25.407,16,4,5,14,19,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,32,8.304,11.51354305555556,15.28803916666667
2-39-79-378,2021-05-14 21:00:00,5.992,21,4,5,14,19,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,32,25.407,13.234333333333339,15.198789166666666
2-39-79-378,2021-05-17 21:00:00,8.743,21,0,5,17,20,-0.7071067811865477,0.7071067811865474,0.0,1.0,32,5.992,13.380666666666672,14.853580833333332
2-39-79-378,2021-05-24 14:00:00,29.226,14,0,5,24,21,-0.4999999999999997,-0.8660254037844388,0.0,1.0,32,8.743,14.653666666666672,15.991997499999998
